q,y1,y2,fold_dt
2,-0.8333333333333333,-2.5,inf
2,-0.8333333333333333,-2.0,inf
2,-0.8333333333333333,-1.5,inf
2,-0.8333333333333333,-1.0,inf
2,-0.8333333333333333,-0.5,inf
2,-0.8333333333333333,0.0,inf
2,-0.8333333333333333,0.5,inf
2,-0.8333333333333333,1.0,inf
2,-0.8333333333333333,1.5,inf
2,-0.8333333333333333,2.0,inf
2,-0.8333333333333333,2.5,inf
2,-0.8333333333333333,3.0,inf
2,-0.4166666666666665,-3.0,inf
2,-0.4166666666666665,-2.5,2.880000000000002
2,-0.4166666666666665,-2.0,2.820000000000002
2,-0.4166666666666665,-1.5,inf
2,-0.4166666666666665,-1.0,inf
2,-0.4166666666666665,-0.5,inf
2,-0.4166666666666665,0.0,inf
2,-0.4166666666666665,0.5,inf
2,-0.4166666666666665,1.0,inf
2,-0.4166666666666665,1.5,inf
2,-0.4166666666666665,2.0,inf
2,-0.4166666666666665,2.5,inf
2,-0.4166666666666665,3.0,inf
2,0.0,-3.0,inf
2,0.0,-2.5,inf
2,0.0,-2.0,inf
2,0.0,-1.5,inf
2,0.0,-1.0,inf
2,0.0,-0.5,inf
2,0.0,0.0,inf
2,0.0,0.5,inf
2,0.0,1.0,inf
2,0.0,1.5,inf
2,0.0,2.0,inf
2,0.0,2.5,inf
2,0.0,3.0,inf
2,0.41666666666666696,-3.0,inf
2,0.41666666666666696,-2.5,inf
2,0.41666666666666696,-2.0,inf
2,0.41666666666666696,-1.5,inf
2,0.41666666666666696,-1.0,inf
2,0.41666666666666696,-0.5,inf
2,0.41666666666666696,0.0,inf
2,0.41666666666666696,0.5,inf
2,0.41666666666666696,1.0,inf
2,0.41666666666666696,1.5,inf
2,0.41666666666666696,2.0,2.820000000000002
2,0.41666666666666696,2.5,2.880000000000002
2,0.41666666666666696,3.0,inf
2,0.8333333333333335,-3.0,inf
2,0.8333333333333335,-2.5,inf
2,0.8333333333333335,-2.0,inf
2,0.8333333333333335,-1.5,inf
2,0.8333333333333335,-1.0,inf
2,0.8333333333333335,-0.5,inf
2,0.8333333333333335,0.0,inf
2,0.8333333333333335,0.5,inf
2,0.8333333333333335,1.0,inf
2,0.8333333333333335,1.5,inf
2,0.8333333333333335,2.0,inf
2,0.8333333333333335,2.5,inf
2,0.8333333333333335,3.0,inf
2,1.25,-3.0,inf
2,1.25,-2.5,inf
2,1.25,-2.0,inf
2,1.25,-1.5,inf
2,1.25,-1.0,inf
2,1.25,-0.5,inf
2,1.25,0.0,inf
2,1.25,0.5,inf
2,1.25,1.0,inf
2,1.25,1.5,inf
2,1.25,2.0,inf
2,1.25,2.5,2.1600000000000015
2,1.25,3.0,2.2000000000000015
2,1.666666666666667,-3.0,inf
2,1.666666666666667,-2.5,inf
2,1.666666666666667,-2.0,inf
2,1.666666666666667,-1.5,inf
2,1.666666666666667,-1.0,inf
2,1.666666666666667,-0.5,inf
2,1.666666666666667,0.0,inf
2,1.666666666666667,0.5,inf
2,1.666666666666667,1.0,inf
2,1.666666666666667,1.5,2.0400000000000014
2,1.666666666666667,2.0,2.0600000000000014
2,1.666666666666667,2.5,inf
2,1.666666666666667,3.0,2.1400000000000015
2,2.083333333333334,-3.0,inf
2,2.083333333333334,-2.5,1.600000000000001
2,2.083333333333334,-2.0,inf
2,2.083333333333334,-1.5,2.2800000000000016
2,2.083333333333334,-1.0,2.840000000000002
2,2.083333333333334,-0.5,inf
2,2.083333333333334,0.0,inf
2,2.083333333333334,0.5,inf
2,2.083333333333334,1.0,inf
2,2.083333333333334,1.5,inf
2,2.083333333333334,2.0,2.2000000000000015
2,2.083333333333334,2.5,inf
2,2.083333333333334,3.0,2.2200000000000015
2,2.5,-3.0,1.9400000000000013
2,2.5,-2.5,2.3200000000000016
2,2.5,-2.0,2.800000000000002
2,2.5,-1.5,inf
2,2.5,-1.0,inf
2,2.5,-0.5,inf
2,2.5,0.0,2.560000000000002
2,2.5,0.5,2.540000000000002
2,2.5,1.0,2.540000000000002
2,2.5,1.5,2.540000000000002
2,2.5,2.0,2.540000000000002
2,2.5,2.5,2.520000000000002
2,2.5,3.0,2.520000000000002
4,-2.5,-3.0,inf
4,-2.5,-2.5,inf
4,-2.5,-2.0,inf
4,-2.5,-1.5,inf
4,-2.5,-1.0,inf
4,-2.5,-0.5,inf
4,-2.5,0.0,inf
4,-2.5,0.5,inf
4,-2.5,1.0,inf
4,-2.5,1.5,inf
4,-2.5,2.0,inf
4,-2.5,2.5,inf
4,-2.5,3.0,inf
4,-2.0833333333333335,-3.0,inf
4,-2.0833333333333335,-2.5,inf
4,-2.0833333333333335,-2.0,inf
4,-2.0833333333333335,-1.5,inf
4,-2.0833333333333335,-1.0,inf
4,-2.0833333333333335,-0.5,inf
4,-2.0833333333333335,0.0,inf
4,-2.0833333333333335,0.5,inf
4,-2.0833333333333335,1.0,inf
4,-2.0833333333333335,1.5,inf
4,-2.0833333333333335,2.0,inf
4,-2.0833333333333335,2.5,inf
4,-2.0833333333333335,3.0,inf
4,-1.6666666666666665,-3.0,inf
4,-1.6666666666666665,-2.5,inf
4,-1.6666666666666665,-2.0,inf
4,-1.6666666666666665,-1.5,inf
4,-1.6666666666666665,-1.0,inf
4,-1.6666666666666665,-0.5,inf
4,-1.6666666666666665,0.0,inf
4,-1.6666666666666665,0.5,inf
4,-1.6666666666666665,1.0,inf
4,-1.6666666666666665,1.5,inf
4,-1.6666666666666665,2.0,inf
4,-1.6666666666666665,2.5,inf
4,-1.6666666666666665,3.0,inf
4,-1.25,-3.0,inf
4,-1.25,-2.5,inf
4,-1.25,-2.0,inf
4,-1.25,-1.5,2.960000000000002
4,-1.25,-1.0,inf
4,-1.25,-0.5,inf
4,-1.25,0.0,inf
4,-1.25,0.5,inf
4,-1.25,1.0,inf
4,-1.25,1.5,inf
4,-1.25,2.0,inf
4,-1.25,2.5,inf
4,-1.25,3.0,inf
4,-0.8333333333333333,-3.0,inf
4,-0.8333333333333333,-2.5,inf
4,-0.8333333333333333,-2.0,inf
4,-0.8333333333333333,-1.5,2.980000000000002
4,-0.8333333333333333,-1.0,inf
4,-0.8333333333333333,-0.5,inf
4,-0.8333333333333333,0.0,inf
4,-0.8333333333333333,0.5,inf
4,-0.8333333333333333,1.0,inf
4,-0.8333333333333333,1.5,inf
4,-0.8333333333333333,2.0,inf
4,-0.8333333333333333,2.5,2.920000000000002
4,-0.8333333333333333,3.0,2.760000000000002
4,-0.4166666666666665,-3.0,inf
4,-0.4166666666666665,-2.5,inf
4,-0.4166666666666665,-2.0,inf
4,-0.4166666666666665,-1.5,inf
4,-0.4166666666666665,-1.0,inf
4,-0.4166666666666665,-0.5,inf
4,-0.4166666666666665,0.0,inf
4,-0.4166666666666665,0.5,inf
4,-0.4166666666666665,1.0,inf
4,-0.4166666666666665,1.5,inf
4,-0.4166666666666665,2.0,inf
4,-0.4166666666666665,2.5,2.960000000000002
4,-0.4166666666666665,3.0,2.880000000000002
4,0.0,-3.0,inf
4,0.0,-2.5,inf
4,0.0,-2.0,inf
4,0.0,-1.5,inf
4,0.0,-1.0,inf
4,0.0,-0.5,inf
4,0.0,0.0,inf
4,0.0,0.5,inf
4,0.0,1.0,inf
4,0.0,1.5,inf
4,0.0,2.0,inf
4,0.0,2.5,inf
4,0.0,3.0,inf
4,0.41666666666666696,-3.0,2.880000000000002
4,0.41666666666666696,-2.5,2.960000000000002
4,0.41666666666666696,-2.0,inf
4,0.41666666666666696,-1.5,inf
4,0.41666666666666696,-1.0,inf
4,0.41666666666666696,-0.5,inf
4,0.41666666666666696,0.0,inf
4,0.41666666666666696,0.5,inf
4,0.41666666666666696,1.0,inf
4,0.41666666666666696,1.5,inf
4,0.41666666666666696,2.0,inf
4,0.41666666666666696,2.5,inf
4,0.41666666666666696,3.0,inf
4,0.8333333333333335,-3.0,2.760000000000002
4,0.8333333333333335,-2.5,2.920000000000002
4,0.8333333333333335,-2.0,inf
4,0.8333333333333335,-1.5,inf
4,0.8333333333333335,-1.0,inf
4,0.8333333333333335,-0.5,inf
4,0.8333333333333335,0.0,inf
4,0.8333333333333335,0.5,inf
4,0.8333333333333335,1.0,inf
4,0.8333333333333335,1.5,2.980000000000002
4,0.8333333333333335,2.0,inf
4,0.8333333333333335,2.5,inf
4,0.8333333333333335,3.0,inf
4,1.25,-3.0,inf
4,1.25,-2.5,inf
4,1.25,-2.0,inf
4,1.25,-1.5,inf
4,1.25,-1.0,inf
4,1.25,-0.5,inf
4,1.25,0.0,inf
4,1.25,0.5,inf
4,1.25,1.0,inf
4,1.25,1.5,2.960000000000002
4,1.25,2.0,inf
4,1.25,2.5,inf
4,1.25,3.0,inf
4,1.666666666666667,-3.0,inf
4,1.666666666666667,-2.5,inf
4,1.666666666666667,-2.0,inf
4,1.666666666666667,-1.5,inf
4,1.666666666666667,-1.0,inf
4,1.666666666666667,-0.5,inf
4,1.666666666666667,0.0,inf
4,1.666666666666667,0.5,inf
4,1.666666666666667,1.0,inf
4,1.666666666666667,1.5,inf
4,1.666666666666667,2.0,inf
4,1.666666666666667,2.5,inf
4,1.666666666666667,3.0,inf
4,2.083333333333334,-3.0,inf
4,2.083333333333334,-2.5,inf
4,2.083333333333334,-2.0,inf
4,2.083333333333334,-1.5,inf
4,2.083333333333334,-1.0,inf
4,2.083333333333334,-0.5,inf
4,2.083333333333334,0.0,inf
4,2.083333333333334,0.5,inf
4,2.083333333333334,1.0,inf
4,2.083333333333334,1.5,inf
4,2.083333333333334,2.0,inf
4,2.083333333333334,2.5,inf
4,2.083333333333334,3.0,inf
4,2.5,-3.0,inf
4,2.5,-2.5,inf
4,2.5,-2.0,inf
4,2.5,-1.5,inf
4,2.5,-1.0,inf
4,2.5,-0.5,inf
4,2.5,0.0,inf
4,2.5,0.5,inf
4,2.5,1.0,inf
4,2.5,1.5,inf
4,2.5,2.0,inf
4,2.5,2.5,inf
4,2.5,3.0,inf
8,-2.5,-3.0,inf
8,-2.5,-2.5,inf
8,-2.5,-2.0,inf
8,-2.5,-1.5,inf
8,-2.5,-1.0,inf
8,-2.5,-0.5,inf
8,-2.5,0.0,inf
8,-2.5,0.5,inf
8,-2.5,1.0,inf
8,-2.5,1.5,inf
8,-2.5,2.0,inf
8,-2.5,2.5,inf
8,-2.5,3.0,inf
8,-2.0833333333333335,-3.0,inf
8,-2.0833333333333335,-2.5,inf
8,-2.0833333333333335,-2.0,inf
8,-2.0833333333333335,-1.5,inf
8,-2.0833333333333335,-1.0,inf
8,-2.0833333333333335,-0.5,inf
8,-2.0833333333333335,0.0,inf
8,-2.0833333333333335,0.5,inf
8,-2.0833333333333335,1.0,inf
8,-2.0833333333333335,1.5,inf
8,-2.0833333333333335,2.0,inf
8,-2.0833333333333335,2.5,inf
8,-2.0833333333333335,3.0,inf
8,-1.6666666666666665,-3.0,inf
8,-1.6666666666666665,-2.5,inf
8,-1.6666666666666665,-2.0,inf
8,-1.6666666666666665,-1.5,inf
8,-1.6666666666666665,-1.0,inf
8,-1.6666666666666665,-0.5,inf
8,-1.6666666666666665,0.0,inf
8,-1.6666666666666665,0.5,inf
8,-1.6666666666666665,1.0,inf
8,-1.6666666666666665,1.5,inf
8,-1.6666666666666665,2.0,inf
8,-1.6666666666666665,2.5,inf
8,-1.6666666666666665,3.0,inf
8,-1.25,-3.0,inf
8,-1.25,-2.5,inf
8,-1.25,-2.0,inf
8,-1.25,-1.5,inf
8,-1.25,-1.0,inf
8,-1.25,-0.5,inf
8,-1.25,0.0,inf
8,-1.25,0.5,inf
8,-1.25,1.0,inf
8,-1.25,1.5,inf
8,-1.25,2.0,inf
8,-1.25,2.5,inf
8,-1.25,3.0,inf
8,-0.8333333333333333,-3.0,inf
8,-0.8333333333333333,-2.5,inf
8,-0.8333333333333333,-2.0,inf
8,-0.8333333333333333,-1.5,inf
8,-0.8333333333333333,-1.0,inf
8,-0.8333333333333333,-0.5,inf
8,-0.8333333333333333,0.0,inf
8,-0.8333333333333333,0.5,inf
8,-0.8333333333333333,1.0,inf
8,-0.8333333333333333,1.5,inf
8,-0.8333333333333333,2.0,inf
8,-0.8333333333333333,2.5,inf
8,-0.8333333333333333,3.0,inf
8,-0.4166666666666665,-3.0,inf
8,-0.4166666666666665,-2.5,inf
8,-0.4166666666666665,-2.0,inf
8,-0.4166666666666665,-1.5,inf
8,-0.4166666666666665,-1.0,inf
8,-0.4166666666666665,-0.5,inf
8,-0.4166666666666665,0.0,inf
8,-0.4166666666666665,0.5,inf
8,-0.4166666666666665,1.0,inf
8,-0.4166666666666665,1.5,inf
8,-0.4166666666666665,2.0,inf
8,-0.4166666666666665,2.5,inf
8,-0.4166666666666665,3.0,inf
8,0.0,-3.0,inf
8,0.0,-2.5,inf
8,0.0,-2.0,inf
8,0.0,-1.5,inf
8,0.0,-1.0,inf
8,0.0,-0.5,inf
8,0.0,0.0,inf
8,0.0,0.5,inf
8,0.0,1.0,inf
8,0.0,1.5,inf
8,0.0,2.0,inf
8,0.0,2.5,inf
8,0.0,3.0,inf
8,0.41666666666666696,-3.0,inf
8,0.41666666666666696,-2.5,inf
8,0.41666666666666696,-2.0,inf
8,0.41666666666666696,-1.5,inf
8,0.41666666666666696,-1.0,inf
8,0.41666666666666696,-0.5,inf
8,0.41666666666666696,0.0,inf
8,0.41666666666666696,0.5,inf
8,0.41666666666666696,1.0,inf
8,0.41666666666666696,1.5,inf
8,0.41666666666666696,2.0,inf
8,0.41666666666666696,2.5,inf
8,0.41666666666666696,3.0,inf
8,0.8333333333333335,-3.0,inf
8,0.8333333333333335,-2.5,inf
8,0.8333333333333335,-2.0,inf
8,0.8333333333333335,-1.5,inf
8,0.8333333333333335,-1.0,inf
8,0.8333333333333335,-0.5,inf
8,0.8333333333333335,0.0,inf
8,0.8333333333333335,0.5,inf
8,0.8333333333333335,1.0,inf
8,0.8333333333333335,1.5,inf
8,0.8333333333333335,2.0,inf
8,0.8333333333333335,2.5,inf
8,0.8333333333333335,3.0,inf
8,1.25,-3.0,inf
8,1.25,-2.5,inf
8,1.25,-2.0,inf
8,1.25,-1.5,inf
8,1.25,-1.0,inf
8,1.25,-0.5,inf
8,1.25,0.0,inf
8,1.25,0.5,inf
8,1.25,1.0,inf
8,1.25,1.5,inf
8,1.25,2.0,inf
8,1.25,2.5,inf
8,1.25,3.0,inf
8,1.666666666666667,-3.0,inf
8,1.666666666666667,-2.5,inf
8,1.666666666666667,-2.0,inf
8,1.666666666666667,-1.5,inf
8,1.666666666666667,-1.0,inf
8,1.666666666666667,-0.5,inf
8,1.666666666666667,0.0,inf
8,1.666666666666667,0.5,inf
8,1.666666666666667,1.0,inf
8,1.666666666666667,1.5,inf
8,1.666666666666667,2.0,inf
8,1.666666666666667,2.5,inf
8,1.666666666666667,3.0,inf
8,2.083333333333334,-3.0,inf
8,2.083333333333334,-2.5,inf
8,2.083333333333334,-2.0,inf
8,2.083333333333334,-1.5,inf
8,2.083333333333334,-1.0,inf
8,2.083333333333334,-0.5,inf
8,2.083333333333334,0.0,inf
8,2.083333333333334,0.5,inf
8,2.083333333333334,1.0,inf
8,2.083333333333334,1.5,inf
8,2.083333333333334,2.0,inf
8,2.083333333333334,2.5,inf
8,2.083333333333334,3.0,inf
8,2.5,-3.0,inf
8,2.5,-2.5,inf
8,2.5,-2.0,inf
8,2.5,-1.5,inf
8,2.5,-1.0,inf
8,2.5,-0.5,inf
8,2.5,0.0,inf
8,2.5,0.5,inf
8,2.5,1.0,inf
8,2.5,1.5,inf
8,2.5,2.0,inf
8,2.5,2.5,inf
8,2.5,3.0,inf
